date,market,rainfall
2020-04-25,Mukono,0.3
2020-04-26,Mukono,4.3
2020-04-27,Mukono,5.9
2020-04-28,Mukono,11.8
2020-04-29,Mukono,7.3
2020-04-30,Mukono,8.0
2020-05-01,Mukono,7.0
2020-05-02,Mukono,19.7
2020-05-03,Mukono,5.9
2020-05-04,Mukono,5.6
2020-05-05,Mukono,4.8
2020-05-06,Mukono,2.0
2020-05-07,Mukono,8.7
2020-05-08,Mukono,6.6
2020-05-09,Mukono,3.1
2020-05-10,Mukono,26.3
2020-05-11,Mukono,5.3
2020-05-12,Mukono,6.0
2020-05-13,Mukono,0.5
2020-05-14,Mukono,2.3
2020-05-15,Mukono,1.7
2020-05-16,Mukono,10.9
2020-05-17,Mukono,8.0
2020-05-18,Mukono,5.0
2020-05-19,Mukono,2.7
2020-05-20,Mukono,4.9
2020-05-21,Mukono,3.3
2020-05-22,Mukono,2.7
2020-05-23,Mukono,0.3
2020-05-24,Mukono,0.2
2020-05-25,Mukono,1.0
2020-05-26,Mukono,0.3
2020-05-27,Mukono,0.1
2020-05-28,Mukono,0.5
2020-05-29,Mukono,3.5
2020-05-30,Mukono,2.4
2020-05-31,Mukono,0.1
2020-06-01,Mukono,0.2
2020-06-02,Mukono,4.4
2020-06-03,Mukono,8.4
2020-06-04,Mukono,5.2
2020-06-05,Mukono,1.8
2020-06-06,Mukono,2.5
2020-06-07,Mukono,2.0
2020-06-08,Mukono,1.4
2020-06-09,Mukono,2.2
2020-06-10,Mukono,6.2
2020-06-11,Mukono,4.7
2020-06-12,Mukono,3.8
2020-06-13,Mukono,6.1
2020-06-14,Mukono,5.3
2020-06-15,Mukono,0.6
2020-06-16,Mukono,0.6
2020-06-17,Mukono,0.0
2020-06-18,Mukono,0.1
2020-06-19,Mukono,2.2
2020-06-20,Mukono,20.1
2020-06-21,Mukono,1.2
2020-06-22,Mukono,1.7
2020-06-23,Mukono,0.7
2020-06-24,Mukono,4.8
2020-06-25,Mukono,5.0
2020-06-26,Mukono,0.2
2020-06-27,Mukono,4.1
2020-06-28,Mukono,4.1
2020-06-29,Mukono,1.3
2020-06-30,Mukono,0.2
2020-07-01,Mukono,1.1
2020-07-02,Mukono,2.7
2020-07-03,Mukono,0.5
2020-07-04,Mukono,0.4
2020-07-05,Mukono,1.2
2020-07-06,Mukono,9.7
2020-07-07,Mukono,4.2
2020-07-08,Mukono,2.8
2020-07-09,Mukono,1.9
2020-07-10,Mukono,1.0
2020-07-11,Mukono,7.2
2020-07-12,Mukono,0.1
2020-07-13,Mukono,1.4
2020-07-14,Mukono,7.1
2020-07-15,Mukono,0.3
2020-07-16,Mukono,14.2
2020-07-17,Mukono,6.1
2020-07-18,Mukono,0.0
2020-07-19,Mukono,0.1
2020-07-20,Mukono,0.1
2020-07-21,Mukono,3.1
2020-07-22,Mukono,0.1
2020-07-23,Mukono,3.5
2020-07-24,Mukono,1.5
2020-07-25,Mukono,0.6
2020-07-26,Mukono,0.3
2020-07-27,Mukono,0.0
2020-07-28,Mukono,0.0
2020-07-29,Mukono,0.4
2020-07-30,Mukono,2.0
2020-07-31,Mukono,0.0
2020-08-01,Mukono,0.7
2020-08-02,Mukono,0.7
2020-08-03,Mukono,0.8
2020-08-04,Mukono,2.0
2020-08-05,Mukono,0.2
2020-08-06,Mukono,0.5
2020-08-07,Mukono,1.2
2020-08-08,Mukono,6.7
2020-08-09,Mukono,0.0
2020-08-10,Mukono,0.3
2020-08-11,Mukono,3.8
2020-08-12,Mukono,6.1
2020-08-13,Mukono,4.1
2020-08-14,Mukono,9.1
2020-08-15,Mukono,0.0
2020-08-16,Mukono,1.2
2020-08-17,Mukono,1.3
2020-08-18,Mukono,6.2
2020-08-19,Mukono,2.9
2020-08-20,Mukono,5.1
2020-08-21,Mukono,3.5
2020-08-22,Mukono,0.4
2020-08-23,Mukono,4.5
2020-08-24,Mukono,6.6
2020-08-25,Mukono,1.8
2020-08-26,Mukono,9.0
2020-08-27,Mukono,3.2
2020-08-28,Mukono,2.7
2020-08-29,Mukono,4.1
2020-08-30,Mukono,0.0
2020-08-31,Mukono,9.3
2020-09-01,Mukono,8.0
2020-09-02,Mukono,0.4
2020-09-03,Mukono,0.3
2020-09-04,Mukono,0.5
2020-09-05,Mukono,2.5
2020-09-06,Mukono,4.1
2020-09-07,Mukono,3.4
2020-09-08,Mukono,4.6
2020-09-09,Mukono,4.9
2020-09-10,Mukono,9.2
2020-09-11,Mukono,3.7
2020-09-12,Mukono,13.8
2020-09-13,Mukono,4.3
2020-09-14,Mukono,5.8
2020-09-15,Mukono,9.3
2020-09-16,Mukono,4.4
2020-09-17,Mukono,1.4
2020-09-18,Mukono,0.8
2020-09-19,Mukono,1.5
2020-09-20,Mukono,1.0
2020-09-21,Mukono,2.6
2020-09-22,Mukono,4.9
2020-09-23,Mukono,10.6
2020-09-24,Mukono,1.5
2020-09-25,Mukono,1.4
2020-09-26,Mukono,1.0
2020-09-27,Mukono,5.8
2020-09-28,Mukono,9.2
2020-09-29,Mukono,7.8
2020-09-30,Mukono,5.0
2020-10-01,Mukono,7.5
2020-10-02,Mukono,5.0
2020-10-03,Mukono,3.7
2020-10-04,Mukono,6.4
2020-10-05,Mukono,7.1
2020-10-06,Mukono,1.7
2020-10-07,Mukono,6.4
2020-10-08,Mukono,2.8
2020-10-09,Mukono,7.5
2020-10-10,Mukono,8.6
2020-10-11,Mukono,3.2
2020-10-12,Mukono,7.5
2020-10-13,Mukono,1.7
2020-10-14,Mukono,0.8
2020-10-15,Mukono,6.4
2020-10-16,Mukono,1.7
2020-10-17,Mukono,7.9
2020-10-18,Mukono,0.6
2020-10-19,Mukono,1.1
2020-10-20,Mukono,8.8
2020-10-21,Mukono,1.0
2020-10-22,Mukono,2.3
2020-10-23,Mukono,1.4
2020-10-24,Mukono,3.9
2020-10-25,Mukono,0.8
2020-10-26,Mukono,22.7
2020-10-27,Mukono,5.6
2020-10-28,Mukono,4.4
2020-10-29,Mukono,24.9
2020-10-30,Mukono,24.7
2020-10-31,Mukono,2.2
2020-11-01,Mukono,2.0
2020-11-02,Mukono,8.5
2020-11-03,Mukono,1.4
2020-11-04,Mukono,2.8
2020-11-05,Mukono,5.9
2020-11-06,Mukono,14.1
2020-11-07,Mukono,3.0
2020-11-08,Mukono,1.8
2020-11-09,Mukono,9.2
2020-11-10,Mukono,6.5
2020-11-11,Mukono,10.4
2020-11-12,Mukono,4.1
2020-11-13,Mukono,7.5
2020-11-14,Mukono,15.8
2020-11-15,Mukono,3.3
2020-11-16,Mukono,16.2
2020-11-17,Mukono,0.6
2020-11-18,Mukono,4.0
2020-11-19,Mukono,0.4
2020-11-20,Mukono,5.7
2020-11-21,Mukono,6.8
2020-11-22,Mukono,6.8
2020-11-23,Mukono,2.9
2020-11-24,Mukono,0.4
2020-11-25,Mukono,21.2
2020-11-26,Mukono,3.1
2020-11-27,Mukono,8.5
2020-11-28,Mukono,9.1
2020-11-29,Mukono,16.8
2020-11-30,Mukono,0.4
2020-12-01,Mukono,0.1
2020-12-02,Mukono,0.0
2020-12-03,Mukono,0.2
2020-12-04,Mukono,6.3
2020-12-05,Mukono,0.6
2020-12-06,Mukono,1.5
2020-12-07,Mukono,0.1
2020-12-08,Mukono,5.5
2020-12-09,Mukono,1.5
2020-12-10,Mukono,3.5
2020-12-11,Mukono,8.3
2020-12-12,Mukono,0.3
2020-12-13,Mukono,0.6
2020-12-14,Mukono,0.4
2020-12-15,Mukono,1.0
2020-12-16,Mukono,0.0
2020-12-17,Mukono,0.4
2020-12-18,Mukono,8.0
2020-12-19,Mukono,7.9
2020-12-20,Mukono,5.3
2020-12-21,Mukono,6.5
2020-12-22,Mukono,6.8
2020-12-23,Mukono,2.4
2020-12-24,Mukono,1.5
2020-12-25,Mukono,6.2
2020-12-26,Mukono,1.6
2020-12-27,Mukono,1.8
2020-12-28,Mukono,0.0
2020-12-29,Mukono,0.2
2020-12-30,Mukono,2.8
2020-12-31,Mukono,3.9
2021-01-01,Mukono,6.7
2021-01-02,Mukono,2.0
2021-01-03,Mukono,3.0
2021-01-04,Mukono,2.2
2021-01-05,Mukono,0.8
2021-01-06,Mukono,1.4
2021-01-07,Mukono,0.0
2021-01-08,Mukono,0.0
2021-01-09,Mukono,6.9
2021-01-10,Mukono,5.4
2021-01-11,Mukono,0.3
2021-01-12,Mukono,0.3
2021-01-13,Mukono,2.7
2021-01-14,Mukono,0.6
2021-01-15,Mukono,4.5
2021-01-16,Mukono,6.9
2021-01-17,Mukono,0.2
2021-01-18,Mukono,0.0
2021-01-19,Mukono,6.4
2021-01-20,Mukono,4.1
2021-01-21,Mukono,4.0
2021-01-22,Mukono,0.0
2021-01-23,Mukono,0.6
2021-01-24,Mukono,1.4
2021-01-25,Mukono,1.8
2021-01-26,Mukono,2.6
2021-01-27,Mukono,0.5
2021-01-28,Mukono,0.2
2021-01-29,Mukono,0.2
2021-01-30,Mukono,4.3
2021-01-31,Mukono,4.0
2021-02-01,Mukono,0.0
2021-02-02,Mukono,1.3
2021-02-03,Mukono,1.0
2021-02-04,Mukono,0.0
2021-02-05,Mukono,0.4
2021-02-06,Mukono,0.0
2021-02-07,Mukono,0.0
2021-02-08,Mukono,0.0
2021-02-09,Mukono,0.1
2021-02-10,Mukono,3.9
2021-02-11,Mukono,14.9
2021-02-12,Mukono,13.2
2021-02-13,Mukono,2.7
2021-02-14,Mukono,2.0
2021-02-15,Mukono,0.4
2021-02-16,Mukono,1.5
2021-02-17,Mukono,0.4
2021-02-18,Mukono,7.2
2021-02-19,Mukono,0.1
2021-02-20,Mukono,0.0
2021-02-21,Mukono,0.0
2021-02-22,Mukono,3.5
2021-02-23,Mukono,1.5
2021-02-24,Mukono,1.0
2021-02-25,Mukono,2.4
2021-02-26,Mukono,0.4
2021-02-27,Mukono,1.4
2021-02-28,Mukono,1.9
2021-03-01,Mukono,1.1
2021-03-02,Mukono,1.1
2021-03-03,Mukono,5.6
2021-03-04,Mukono,13.3
2021-03-05,Mukono,10.1
2021-03-06,Mukono,3.1
2021-03-07,Mukono,0.7
2021-03-08,Mukono,9.4
2021-03-09,Mukono,10.4
2021-03-10,Mukono,2.3
2021-03-11,Mukono,0.4
2021-03-12,Mukono,0.3
2021-03-13,Mukono,0.0
2021-03-14,Mukono,0.3
2021-03-15,Mukono,2.7
2021-03-16,Mukono,3.4
2021-03-17,Mukono,14.4
2021-03-18,Mukono,5.5
2021-03-19,Mukono,2.0
2021-03-20,Mukono,2.6
2021-03-21,Mukono,0.1
2021-03-22,Mukono,2.6
2021-03-23,Mukono,0.6
2021-03-24,Mukono,0.2
2021-03-25,Mukono,0.1
2021-03-26,Mukono,0.1
2021-03-27,Mukono,1.2
2021-03-28,Mukono,0.7
2021-03-29,Mukono,0.3
2021-03-30,Mukono,4.3
2021-03-31,Mukono,4.9
2021-04-01,Mukono,2.9
2021-04-02,Mukono,10.5
2021-04-03,Mukono,8.2
2021-04-04,Mukono,11.3
2021-04-05,Mukono,5.0
2021-04-06,Mukono,7.2
2021-04-07,Mukono,3.2
2021-04-08,Mukono,14.9
2021-04-09,Mukono,3.0
2021-04-10,Mukono,1.2
2021-04-11,Mukono,5.3
2021-04-12,Mukono,4.3
2021-04-13,Mukono,45.9
2021-04-14,Mukono,7.1
2021-04-15,Mukono,4.1
2021-04-16,Mukono,3.9
2021-04-17,Mukono,0.6
2021-04-18,Mukono,2.9
2021-04-19,Mukono,14.9
2021-04-20,Mukono,9.1
2021-04-21,Mukono,8.0
2021-04-22,Mukono,4.2
2021-04-23,Mukono,6.5
2021-04-24,Mukono,8.8
2021-04-25,Mukono,18.8
2021-04-26,Mukono,0.8
2021-04-27,Mukono,3.7
2021-04-28,Mukono,6.3
2021-04-29,Mukono,5.3
2021-04-30,Mukono,3.7
2021-05-01,Mukono,1.1
2021-05-02,Mukono,6.6
2021-05-03,Mukono,9.7
2021-05-04,Mukono,3.8
2021-05-05,Mukono,8.7
2021-05-06,Mukono,4.3
2021-05-07,Mukono,14.3
2021-05-08,Mukono,4.3
2021-05-09,Mukono,18.3
2021-05-10,Mukono,4.8
2021-05-11,Mukono,2.8
2021-05-12,Mukono,7.7
2021-05-13,Mukono,0.5
2021-05-14,Mukono,5.4
2021-05-15,Mukono,20.9
2021-05-16,Mukono,3.6
2021-05-17,Mukono,0.8
2021-05-18,Mukono,5.4
2021-05-19,Mukono,15.2
2021-05-20,Mukono,2.7
2021-05-21,Mukono,1.1
2021-05-22,Mukono,0.6
2021-05-23,Mukono,2.1
2021-05-24,Mukono,0.8
2021-05-25,Mukono,0.8
2021-05-26,Mukono,0.7
2021-05-27,Mukono,1.3
2021-05-28,Mukono,2.4
2021-05-29,Mukono,0.9
2021-05-30,Mukono,1.4
2021-05-31,Mukono,0.2
2021-06-01,Mukono,0.8
2021-06-02,Mukono,0.1
2021-06-03,Mukono,9.0
2021-06-04,Mukono,3.9
2021-06-05,Mukono,4.7
2021-06-06,Mukono,3.7
2021-06-07,Mukono,6.8
2021-06-08,Mukono,0.7
2021-06-09,Mukono,0.0
2021-06-10,Mukono,0.1
2021-06-11,Mukono,0.2
2021-06-12,Mukono,1.5
2021-06-13,Mukono,0.0
2021-06-14,Mukono,0.2
2021-06-15,Mukono,0.3
2021-06-16,Mukono,0.7
2021-06-17,Mukono,0.4
2021-06-18,Mukono,1.8
2021-06-19,Mukono,5.2
2021-06-20,Mukono,3.3
2021-06-21,Mukono,3.7
2021-06-22,Mukono,0.5
2021-06-23,Mukono,0.5
2021-06-24,Mukono,0.4
2021-06-25,Mukono,0.7
2021-06-26,Mukono,0.3
2021-06-27,Mukono,0.6
2021-06-28,Mukono,0.6
2021-06-29,Mukono,1.9
2021-06-30,Mukono,4.3
2021-07-01,Mukono,2.1
2021-07-02,Mukono,2.6
2021-07-03,Mukono,0.1
2021-07-04,Mukono,1.3
2021-07-05,Mukono,0.3
2021-07-06,Mukono,0.1
2021-07-07,Mukono,1.1
2021-07-08,Mukono,0.3
2021-07-09,Mukono,0.9
2021-07-10,Mukono,0.0
2021-07-11,Mukono,3.4
2021-07-12,Mukono,0.1
2021-07-13,Mukono,10.3
2021-07-14,Mukono,1.1
2021-07-15,Mukono,14.1
2021-07-16,Mukono,7.0
2021-07-17,Mukono,0.0
2021-07-18,Mukono,0.0
2021-07-19,Mukono,0.2
2021-07-20,Mukono,0.3
2021-07-21,Mukono,0.3
2021-07-22,Mukono,0.0
2021-07-23,Mukono,0.0
2021-07-24,Mukono,0.0
2021-07-25,Mukono,0.0
2021-07-26,Mukono,0.0
2021-07-27,Mukono,0.0
2021-07-28,Mukono,0.1
2021-07-29,Mukono,0.1
2021-07-30,Mukono,0.3
2021-07-31,Mukono,0.1
2021-08-01,Mukono,0.0
2021-08-02,Mukono,0.2
2021-08-03,Mukono,1.4
2021-08-04,Mukono,0.1
2021-08-05,Mukono,0.7
2021-08-06,Mukono,3.4
2021-08-07,Mukono,0.9
2021-08-08,Mukono,1.0
2021-08-09,Mukono,2.1
2021-08-10,Mukono,0.8
2021-08-11,Mukono,0.6
2021-08-12,Mukono,2.3
2021-08-13,Mukono,4.0
2021-08-14,Mukono,18.7
2021-08-15,Mukono,7.6
2021-08-16,Mukono,0.4
2021-08-17,Mukono,2.9
2021-08-18,Mukono,0.8
2021-08-19,Mukono,1.8
2021-08-20,Mukono,2.6
2021-08-21,Mukono,3.0
2021-08-22,Mukono,3.5
2021-08-23,Mukono,2.1
2021-08-24,Mukono,0.0
2021-08-25,Mukono,2.1
2021-08-26,Mukono,2.4
2021-08-27,Mukono,0.4
2021-08-28,Mukono,0.4
2021-08-29,Mukono,0.0
2021-08-30,Mukono,0.3
2021-08-31,Mukono,0.9
2021-09-01,Mukono,6.3
2021-09-02,Mukono,0.2
2021-09-03,Mukono,8.7
2021-09-04,Mukono,4.1
2021-09-05,Mukono,7.2
2021-09-06,Mukono,5.3
2021-09-07,Mukono,3.5
2021-09-08,Mukono,24.5
2021-09-09,Mukono,7.6
2021-09-10,Mukono,2.1
2021-09-11,Mukono,12.7
2021-09-12,Mukono,0.4
2021-09-13,Mukono,4.6
2021-09-14,Mukono,0.2
2021-09-15,Mukono,0.6
2021-09-16,Mukono,3.8
2021-09-17,Mukono,6.5
2021-09-18,Mukono,7.3
2021-09-19,Mukono,12.7
2021-09-20,Mukono,14.8
2021-09-21,Mukono,0.5
2021-09-22,Mukono,16.0
2021-09-23,Mukono,5.9
2021-09-24,Mukono,0.7
2021-09-25,Mukono,6.1
2021-09-26,Mukono,6.3
2021-09-27,Mukono,7.7
2021-09-28,Mukono,5.4
2021-09-29,Mukono,1.5
2021-09-30,Mukono,1.3
2021-10-01,Mukono,4.2
2021-10-02,Mukono,0.7
2021-10-03,Mukono,6.0
2021-10-04,Mukono,0.5
2021-10-05,Mukono,3.8
2021-10-06,Mukono,1.1
2021-10-07,Mukono,0.5
2021-10-08,Mukono,0.6
2021-10-09,Mukono,3.0
2021-10-10,Mukono,5.6
2021-10-11,Mukono,5.0
2021-10-12,Mukono,1.4
2021-10-13,Mukono,0.5
2021-10-14,Mukono,0.8
2021-10-15,Mukono,14.1
2021-10-16,Mukono,0.0
2021-10-17,Mukono,3.8
2021-10-18,Mukono,4.5
2021-10-19,Mukono,12.2
2021-10-20,Mukono,17.5
2021-10-21,Mukono,23.2
2021-10-22,Mukono,2.1
2021-10-23,Mukono,0.5
2021-10-24,Mukono,0.3
2021-10-25,Mukono,0.0
2021-10-26,Mukono,0.0
2021-10-27,Mukono,1.4
2021-10-28,Mukono,3.2
2021-10-29,Mukono,1.4
2021-10-30,Mukono,0.1
2021-10-31,Mukono,3.9
2021-11-01,Mukono,0.1
2021-11-02,Mukono,3.0
2021-11-03,Mukono,6.6
2021-11-04,Mukono,0.7
2021-11-05,Mukono,0.8
2021-11-06,Mukono,1.0
2021-11-07,Mukono,1.5
2021-11-08,Mukono,2.3
2021-11-09,Mukono,0.3
2021-11-10,Mukono,0.9
2021-11-11,Mukono,0.0
2021-11-12,Mukono,0.5
2021-11-13,Mukono,0.4
2021-11-14,Mukono,0.0
2021-11-15,Mukono,0.8
2021-11-16,Mukono,1.2
2021-11-17,Mukono,5.4
2021-11-18,Mukono,0.6
2021-11-19,Mukono,0.6
2021-11-20,Mukono,0.3
2021-11-21,Mukono,5.3
2021-11-22,Mukono,1.5
2021-11-23,Mukono,0.0
2021-11-24,Mukono,0.0
2021-11-25,Mukono,0.3
2021-11-26,Mukono,5.9
2021-11-27,Mukono,7.6
2021-11-28,Mukono,0.3
2021-11-29,Mukono,2.6
2021-11-30,Mukono,5.8
2021-12-01,Mukono,2.0
2021-12-02,Mukono,1.3
2021-12-03,Mukono,12.0
2021-12-04,Mukono,2.1
2021-12-05,Mukono,2.4
2021-12-06,Mukono,0.1
2021-12-07,Mukono,0.0
2021-12-08,Mukono,0.5
2021-12-09,Mukono,0.8
2021-12-10,Mukono,5.7
2021-12-11,Mukono,0.0
2021-12-12,Mukono,0.0
2021-12-13,Mukono,0.1
2021-12-14,Mukono,3.2
2021-12-15,Mukono,3.7
2021-12-16,Mukono,0.7
2021-12-17,Mukono,0.2
2021-12-18,Mukono,0.8
2021-12-19,Mukono,1.3
2021-12-20,Mukono,3.6
2021-12-21,Mukono,15.2
2021-12-22,Mukono,10.1
2021-12-23,Mukono,1.7
2021-12-24,Mukono,3.1
2021-12-25,Mukono,1.5
2021-12-26,Mukono,27.2
2021-12-27,Mukono,11.8
2021-12-28,Mukono,0.4
2021-12-29,Mukono,0.7
2021-12-30,Mukono,0.3
2021-12-31,Mukono,21.0
2022-01-01,Mukono,0.9
2022-01-02,Mukono,0.4
2022-01-03,Mukono,0.5
2022-01-04,Mukono,0.5
2022-01-05,Mukono,0.0
2022-01-06,Mukono,0.0
2022-01-07,Mukono,0.4
2022-01-08,Mukono,0.0
2022-01-09,Mukono,0.0
2022-01-10,Mukono,0.0
2022-01-11,Mukono,0.0
2022-01-12,Mukono,0.0
2022-01-13,Mukono,0.0
2022-01-14,Mukono,0.0
2022-01-15,Mukono,1.4
2022-01-16,Mukono,3.5
2022-01-17,Mukono,24.8
2022-01-18,Mukono,4.5
2022-01-19,Mukono,0.0
2022-01-20,Mukono,0.6
2022-01-21,Mukono,0.1
2022-01-22,Mukono,0.0
2022-01-23,Mukono,3.1
2022-01-24,Mukono,0.1
2022-01-25,Mukono,0.0
2022-01-26,Mukono,0.1
2022-01-27,Mukono,0.0
2022-01-28,Mukono,0.1
2022-01-29,Mukono,0.0
2022-01-30,Mukono,1.5
2022-01-31,Mukono,0.6
2022-02-01,Mukono,2.3
2022-02-02,Mukono,17.1
2022-02-03,Mukono,0.1
2022-02-04,Mukono,4.5
2022-02-05,Mukono,3.4
2022-02-06,Mukono,0.6
2022-02-07,Mukono,0.0
2022-02-08,Mukono,1.6
2022-02-09,Mukono,0.2
2022-02-10,Mukono,0.6
2022-02-11,Mukono,5.0
2022-02-12,Mukono,8.5
2022-02-13,Mukono,0.7
2022-02-14,Mukono,1.3
2022-02-15,Mukono,1.2
2022-02-16,Mukono,0.1
2022-02-17,Mukono,0.3
2022-02-18,Mukono,6.4
2022-02-19,Mukono,5.4
2022-02-20,Mukono,8.6
2022-02-21,Mukono,0.4
2022-02-22,Mukono,0.8
2022-02-23,Mukono,0.0
2022-02-24,Mukono,1.7
2022-02-25,Mukono,7.6
2022-02-26,Mukono,0.6
2022-02-27,Mukono,0.7
2022-02-28,Mukono,2.3
2022-03-01,Mukono,0.4
2022-03-02,Mukono,1.6
2022-03-03,Mukono,4.3
2022-03-04,Mukono,0.0
2022-03-05,Mukono,0.1
2022-03-06,Mukono,0.3
2022-03-07,Mukono,0.0
2022-03-08,Mukono,4.4
2022-03-09,Mukono,0.1
2022-03-10,Mukono,0.7
2022-03-11,Mukono,1.1
2022-03-12,Mukono,0.5
2022-03-13,Mukono,1.0
2022-03-14,Mukono,8.5
2022-03-15,Mukono,0.4
2022-03-16,Mukono,9.3
2022-03-17,Mukono,0.0
2022-03-18,Mukono,1.6
2022-03-19,Mukono,1.4
2022-03-20,Mukono,0.2
2022-03-21,Mukono,8.3
2022-03-22,Mukono,13.7
2022-03-23,Mukono,0.4
2022-03-24,Mukono,2.8
2022-03-25,Mukono,12.1
2022-03-26,Mukono,1.6
2022-03-27,Mukono,4.9
2022-03-28,Mukono,0.0
2022-03-29,Mukono,0.5
2022-03-30,Mukono,20.8
2022-03-31,Mukono,2.1
2022-04-01,Mukono,4.0
2022-04-02,Mukono,3.0
2022-04-03,Mukono,2.3
2022-04-04,Mukono,0.0
2022-04-05,Mukono,6.1
2022-04-06,Mukono,1.0
2022-04-07,Mukono,0.0
2022-04-08,Mukono,0.1
2022-04-09,Mukono,0.2
2022-04-10,Mukono,3.7
2022-04-11,Mukono,3.3
2022-04-12,Mukono,1.4
2022-04-13,Mukono,3.3
2022-04-14,Mukono,3.5
2022-04-15,Mukono,23.4
2022-04-16,Mukono,14.2
2022-04-17,Mukono,0.9
2022-04-18,Mukono,3.1
2022-04-19,Mukono,12.3
2022-04-20,Mukono,15.4
2022-04-21,Mukono,6.9
2022-04-22,Mukono,6.5
2022-04-23,Mukono,5.3
2022-04-24,Mukono,15.7
2022-04-25,Mukono,13.7
2022-04-26,Mukono,0.9
2022-04-27,Mukono,5.0
2022-04-28,Mukono,11.2
2022-04-29,Mukono,11.4
2022-04-30,Mukono,2.7
2022-05-01,Mukono,17.0
2022-05-02,Mukono,11.6
2022-05-03,Mukono,3.6
2022-05-04,Mukono,3.7
2022-05-05,Mukono,2.9
2022-05-06,Mukono,4.9
2022-05-07,Mukono,10.3
2022-05-08,Mukono,6.9
2022-05-09,Mukono,4.1
2022-05-10,Mukono,0.4
2022-05-11,Mukono,9.5
2022-05-12,Mukono,1.5
2022-05-13,Mukono,3.4
2022-05-14,Mukono,0.1
2022-05-15,Mukono,0.3
2022-05-16,Mukono,2.5
2022-05-17,Mukono,0.2
2022-05-18,Mukono,1.6
2022-05-19,Mukono,0.4
2022-05-20,Mukono,3.3
2022-05-21,Mukono,3.6
2022-05-22,Mukono,0.6
