id,date,market,commodity,price
fd-56,2020-07-15,Kansanga,Cassava,6200
fd-57,2020-01-01,Nakasero,beans,19500
fd-58,2021-11-22,Bwaise,fish,24600
fd-59,2021-10-10,,Beans,8100
fd-60,2020-01-26,Mukono,eggs,20500
fd-61,2021-10-06,,eggs,13000
fd-62,2020-01-06,Mukono,Cassava,23300
fd-63,2022-05-18,Mukono,CASSAVA,15700
fd-64,2022-08-30,Kansanga,banana leaves,17000
fd-65,2020-06-11,Kansanga,CASSAVA,8600
fd-66,2021-05-11,Bwaise,beans,23800
fd-67,2021-07-07,Mukono,MAIZE,13000
fd-68,2021-02-21,Nakasero,fish,2500
fd-69,2021-08-21,Mukono,banana leaves,600
fd-70,2022-07-02,Kansanga,fish,18300
fd-71,2020-10-06,Kansanga,CASSAVA,-3700
fd-72,2022-05-10,Kansanga,MAIZE,18000
fd-72,2022-05-10,Kansanga,MAIZE,18000
fd-73,2020-01-28,Mukono,Cassava,15600
fd-74,2021-04-10,Nakasero,Beans,12900
fd-75,2022-05-04,Mukono,CASSAVA,-2800
fd-75,2022-05-04,Mukono,CASSAVA,-2800
fd-76,2020-03-11,Mukono,maize,7000
fd-77,2021-04-29,Mukono,banana leaves,15700
fd-78,2021-09-13,Mukono,MAIZE,4000
fd-79,2022-07-18,Kansanga,Cassava,6900
fd-80,2020-04-14,Nakasero,banana leaves,19000
fd-81,2021-01-14,Mukono,fish,900
fd-82,2022-09-10,Nakasero,CASSAVA,14700
fd-83,2021-09-22,,CASSAVA,24400
fd-84,2022-08-15,Mukono,beans,8400
fd-85,2020-12-10,Mukono,CASSAVA,6400
fd-86,2020-10-13,,beans,17400
fd-87,2021-05-15,,eggs,21600
fd-88,2022-15-48,Bwaise,Cassava,10500
fd-89,2020-12-18,Kansanga,fish,23500
fd-90,2022-01-08,Bwaise,Beans,18000
fd-91,2022-01-26,Kansanga,beans,17600
fd-92,2020-10-30,Bwaise,Beans,900
fd-93,2020-02-25,,beans,4600
fd-94,2020-01-13,,beans,14900
fd-95,2022-06-01,Kansanga,Maize,13600
fd-96,2020-06-04,Bwaise,banana leaves,3200
fd-97,2021-09-12,,banana leaves,17600
fd-98,2021-08-25,Kansanga,beans,2400
fd-99,2020-07-31,Bwaise,beans,5600
fd-100,2021-02-22,Kansanga,banana leaves,1500
fd-101,2021-04-09,Mukono,eggs,20900
fd-102,2020-04-27,,eggs,9200
fd-103,2020-11-10,,banana leaves,14800
fd-104,2022-08-23,Nakasero,fish,14800
fd-105,2020-11-26,,beans,-4100
fd-106,2022-08-31,Mukono,beans,6200
fd-107,2020-07-04,,Cassava,16600
fd-108,2020-11-24,Mukono,MAIZE,23200
fd-109,2022-02-17,,maize,10800
fd-110,2022-06-04,,maize,18200
fd-111,2021-09-29,Kansanga,CASSAVA,7100
fd-112,2022-06-20,Kansanga,Maize,-2500
fd-113,2021-07-18,Mukono,fish,7800
fd-114,2020-04-30,Bwaise,CASSAVA,10000
fd-115,2021-04-28,Bwaise,CASSAVA,13000
fd-116,2020-05-19,Mukono,beans,14000
fd-117,2020-01-03,Nakasero,beans,19500
fd-118,2021-07-05,Kansanga,Beans,18300
fd-119,2021-12-15,Bwaise,banana leaves,13900
fd-119,2021-12-15,Bwaise,banana leaves,13900
fd-120,2022-04-10,Kansanga,Cassava,21800
fd-121,2021-05-29,,Beans,14900
fd-122,2021-13-49,Kansanga,MAIZE,9100
fd-123,2022-05-22,Nakasero,fish,10800
fd-124,2021-07-08,Mukono,banana leaves,21100
fd-125,2020-04-02,Kansanga,Maize,23500
fd-126,2022-07-14,Mukono,maize,2300
fd-127,2021-06-27,Kansanga,banana leaves,6400
fd-128,2021-09-26,Bwaise,CASSAVA,5100
fd-129,2021-11-13,Mukono,CASSAVA,22700
fd-130,2021-08-24,Nakasero,Cassava,15400
fd-131,2021-05-09,Mukono,eggs,12200
fd-132,2022-04-29,Kansanga,beans,-1500
fd-133,2021-09-12,Kansanga,beans,8000
fd-134,2021-09-27,Nakasero,MAIZE,21000
fd-135,2021-08-16,Nakasero,MAIZE,10100
fd-136,2022-03-16,,Beans,9400
fd-137,2021-05-08,Nakasero,Beans,15800
fd-138,2022-05-30,Kansanga,fish,13400
fd-138,2022-05-30,Kansanga,fish,13400
fd-139,2021-11-19,Nakasero,banana leaves,21400
fd-140,2020-01-26,,fish,20400
fd-141,2022-07-20,Nakasero,Cassava,1900
fd-142,2020-04-09,Bwaise,fish,15300
fd-143,2021-07-07,Kansanga,banana leaves,5500
fd-144,2021-09-22,Kansanga,beans,-3500
fd-145,2021-01-06,Mukono,Beans,21600
fd-146,2020-05-05,Kansanga,Maize,21500
fd-147,2020-12-07,Bwaise,MAIZE,7200
fd-147,2020-12-07,Bwaise,MAIZE,7200
fd-148,2020-08-09,Bwaise,Beans,20000
fd-148,2020-08-09,Bwaise,Beans,20000
fd-149,2020-05-13,,beans,4100
fd-150,2026-19-40,Bwaise,banana leaves,6200
fd-151,2020-04-26,Mukono,CASSAVA,12300
fd-152,2022-08-26,,maize,22000
fd-153,2020-03-03,Kansanga,Cassava,4000
fd-154,2020-03-23,Nakasero,banana leaves,4600
fd-155,2020-11-28,Kansanga,banana leaves,15300
fd-156,2020-04-27,,eggs,7900
fd-157,2022-01-17,Mukono,Beans,22200
fd-158,2021-04-30,Mukono,Maize,3500
fd-159,2020-05-13,,maize,18900
fd-160,2022-06-13,Kansanga,maize,20100
fd-161,2020-06-07,Kansanga,eggs,11900
fd-162,2021-08-10,Bwaise,Cassava,20800
fd-163,2025-18-37,Nakasero,maize,23500
fd-164,2020-07-04,Bwaise,banana leaves,2700
fd-165,2022-02-03,,eggs,15300
fd-166,2022-03-06,,banana leaves,2200
fd-167,2020-03-24,Nakasero,CASSAVA,16400
fd-168,2021-06-08,Mukono,Beans,9700
fd-169,2020-11-11,Mukono,eggs,20100
fd-169,2020-11-11,Mukono,eggs,20100
fd-170,2022-02-24,Bwaise,beans,4400
fd-170,2022-02-24,Bwaise,beans,4400
fd-171,2021-01-24,,eggs,22300
fd-172,2020-02-13,Kansanga,maize,3000
fd-173,2021-12-27,Kansanga,beans,1100
fd-174,2021-04-16,Nakasero,Maize,3900
fd-175,2021-02-09,Nakasero,Beans,6000
fd-176,2020-07-17,Nakasero,Beans,21600
fd-177,2020-07-21,Bwaise,banana leaves,21900
fd-178,2021-04-20,,banana leaves,18900
fd-179,2022-09-21,Nakasero,MAIZE,15800
fd-180,2020-02-27,Nakasero,fish,15600
fd-181,2020-03-19,Mukono,banana leaves,13000
fd-182,2022-07-06,Mukono,CASSAVA,19200
fd-183,2020-06-03,Mukono,CASSAVA,11700
fd-184,2020-02-10,Bwaise,CASSAVA,17600
fd-185,2020-10-16,Kansanga,Cassava,22700
fd-186,2020-03-08,Nakasero,Maize,13100
fd-187,2022-07-17,,MAIZE,19500
fd-188,2021-11-02,Kansanga,MAIZE,3200
fd-189,2022-04-12,Bwaise,fish,22400
fd-190,2020-07-03,Bwaise,Beans,16400
fd-191,2020-10-29,Mukono,fish,24700
fd-192,2022-02-23,,MAIZE,5500
fd-193,2022-04-08,Bwaise,CASSAVA,-3600
fd-194,2020-10-18,Kansanga,eggs,10600
fd-195,2020-07-17,Nakasero,banana leaves,15600
fd-196,2021-03-04,Bwaise,eggs,5000
fd-197,2021-01-15,,Maize,17400
fd-198,2020-10-06,Kansanga,fish,14800
fd-199,2022-06-24,Nakasero,maize,13400
fd-200,2021-01-18,Bwaise,maize,3700
fd-201,2020-05-20,Mukono,beans,15900
fd-202,2021-04-04,,maize,1100
fd-203,2022-01-14,,fish,9900
fd-204,2021-10-16,,CASSAVA,16800
fd-204,2020-09-04,Bwaise,beans,20600
fd-206,2021-11-15,Mukono,fish,2700
fd-207,2021-06-03,,maize,15900
fd-207,2021-06-03,,maize,15900
fd-208,2022-02-04,Mukono,Beans,11700
fd-209,2021-08-18,Nakasero,MAIZE,-2800
fd-210,2021-12-02,Kansanga,CASSAVA,4900
fd-210,2021-12-02,Kansanga,CASSAVA,4900
fd-211,2020-10-27,Bwaise,maize,1800
fd-212,2022-04-14,,CASSAVA,21600
fd-213,2022-06-05,Nakasero,beans,12500
fd-214,2022-09-06,Kansanga,Beans,16700
fd-215,2020-09-30,Mukono,Cassava,20200
fd-216,2020-04-15,Mukono,Beans,10500
fd-217,2021-03-30,Nakasero,CASSAVA,-1500
fd-218,2021-10-16,Mukono,Maize,13800
fd-219,2022-09-02,Mukono,MAIZE,22700
fd-220,2022-03-08,Nakasero,Beans,19000
fd-220,2022-03-08,Nakasero,Beans,19000
fd-221,2021-01-14,Nakasero,CASSAVA,19300
fd-222,2020-10-12,Bwaise,Maize,-4300
fd-223,2020-09-25,Nakasero,CASSAVA,20500
fd-224,2020-05-05,Bwaise,Maize,23800
fd-225,2022-05-15,Nakasero,Beans,18500
fd-226,2021-12-29,Bwaise,Beans,4400
fd-227,2021-05-20,Mukono,Beans,12500
fd-228,2022-06-24,Mukono,Maize,23900
fd-229,2022-04-23,,Maize,10800
fd-230,2020-12-18,Bwaise,fish,6400
fd-231,2022-06-08,Mukono,Maize,10400
fd-232,2020-12-20,,beans,8700
fd-233,2021-10-02,Nakasero,banana leaves,16900
fd-234,2020-06-24,,banana leaves,18900
fd-234,2020-06-24,,banana leaves,18900
fd-235,2022-08-29,,beans,19200
fd-236,2021-10-04,,beans,10300
fd-237,2020-10-31,Kansanga,Maize,5600
fd-238,2021-09-13,Bwaise,Beans,10900
fd-239,2020-05-13,Nakasero,fish,10900
fd-240,2020-05-24,Mukono,maize,13000
fd-241,2022-07-12,Bwaise,Beans,24100
fd-242,2021-06-11,Kansanga,CASSAVA,16700
fd-242,2021-06-11,Kansanga,CASSAVA,16700
fd-243,2022-09-16,Bwaise,eggs,2000
fd-243,2022-09-16,Bwaise,eggs,2000
fd-244,2021-10-31,Kansanga,beans,4000
fd-245,2022-02-21,Kansanga,Beans,-4800
fd-246,2020-03-16,Kansanga,fish,18500
fd-247,2020-05-01,Bwaise,Maize,11600
fd-248,2021-09-08,,Cassava,1900
fd-248,2021-09-08,,Cassava,1900
fd-249,2021-06-15,Kansanga,MAIZE,17300
fd-250,2021-02-06,,beans,17100
fd-251,2020-11-02,Kansanga,maize,22500
fd-252,2022-07-09,Mukono,banana leaves,21900
fd-253,2022-01-08,Mukono,banana leaves,17600
fd-254,2020-05-31,Bwaise,maize,23400
fd-254,2020-06-04,Kansanga,eggs,20500
fd-256,2020-03-04,Bwaise,fish,11100
fd-257,2022-09-06,Bwaise,CASSAVA,11700
fd-258,2021-11-28,Nakasero,banana leaves,8500
fd-259,2020-10-31,Nakasero,eggs,16500
fd-260,2022-03-25,Nakasero,beans,22600
fd-261,2020-12-19,Bwaise,beans,-1100
fd-262,2020-09-19,Kansanga,eggs,18100
fd-263,2020-04-21,,banana leaves,2100
fd-264,2020-02-23,Mukono,Cassava,15900
fd-265,2024-17-45,Bwaise,Cassava,16000
fd-266,2020-11-24,Nakasero,maize,3400
fd-267,2022-05-20,Mukono,MAIZE,6200
fd-268,2022-03-17,Kansanga,MAIZE,9900
fd-268,2020-04-19,Nakasero,beans,21500
fd-270,2022-05-21,,CASSAVA,4100
fd-271,2022-01-05,Bwaise,maize,10100
fd-272,2022-05-26,Kansanga,Cassava,3300
fd-273,2021-05-03,Nakasero,eggs,-3500
fd-274,2020-11-05,,banana leaves,-2400
fd-275,2021-04-21,Nakasero,MAIZE,16900
fd-276,2021-12-07,Mukono,beans,7700
fd-277,2022-02-04,,Beans,18400
fd-278,2022-04-25,Bwaise,eggs,20000
fd-279,2021-12-21,Nakasero,Maize,4100
fd-279,2021-12-21,Nakasero,Maize,4100
fd-280,2021-08-09,,MAIZE,17500
fd-281,2021-05-15,Mukono,fish,2300
fd-282,2020-02-29,,CASSAVA,10500
fd-283,2022-02-02,Bwaise,banana leaves,14300
fd-284,2022-08-15,Mukono,CASSAVA,-3400
fd-285,2022-01-16,Kansanga,Beans,13000
fd-286,2020-03-23,,MAIZE,11800
fd-287,2020-05-10,Bwaise,maize,10200
fd-288,2021-01-23,Bwaise,eggs,5500
fd-289,2020-04-25,Mukono,Cassava,1000
fd-290,2021-04-02,,maize,1900
fd-291,2022-06-03,Mukono,MAIZE,9900
fd-292,2021-08-14,,Beans,5100
fd-293,2020-10-08,Mukono,fish,24500
fd-294,2021-05-22,Mukono,Beans,22400
fd-295,2021-02-22,Bwaise,beans,18100
fd-296,2021-12-25,Bwaise,CASSAVA,18900
fd-297,2021-02-01,Bwaise,beans,21600
fd-298,2021-07-02,Bwaise,maize,22500
fd-299,2022-04-03,,fish,7300
fd-300,2020-01-16,Bwaise,eggs,4300
fd-301,2021-12-13,,eggs,8300
fd-302,2021-06-30,Nakasero,beans,17300
fd-303,2022-01-09,Kansanga,Beans,12600
fd-304,2022-01-29,Bwaise,maize,19600
fd-305,2020-12-03,Bwaise,Cassava,8500
fd-306,2020-09-20,Kansanga,CASSAVA,24500
fd-307,2021-05-15,Bwaise,fish,2400
fd-308,2022-04-17,Mukono,maize,21100
fd-309,2024-17-45,Kansanga,Beans,21300
fd-310,2021-05-14,Mukono,maize,13900
fd-310,2021-05-14,Mukono,maize,13900
fd-311,2022-09-27,Nakasero,maize,23300
fd-312,2020-04-19,Mukono,fish,6700
fd-313,2022-03-25,Kansanga,Maize,13800
fd-314,2020-11-03,Mukono,maize,12900
fd-315,2021-12-20,Bwaise,Maize,14700
fd-316,2022-09-24,Mukono,fish,8000
fd-317,2021-05-01,Nakasero,maize,22900
fd-318,2020-02-03,Bwaise,Beans,-4200
fd-319,2021-02-11,Mukono,beans,8300
fd-320,2021-07-07,Nakasero,Cassava,5000
fd-321,2022-02-02,Nakasero,maize,8100
fd-322,2022-09-04,,Cassava,11100
fd-322,2022-09-04,,Cassava,11100
fd-323,2021-05-17,Bwaise,Beans,12800
fd-324,2020-03-28,,beans,23800
fd-324,2020-03-28,,beans,23800
fd-325,2022-03-13,Bwaise,Cassava,3900
fd-326,2022-02-18,Nakasero,Maize,6600
fd-327,2020-04-15,Mukono,Maize,3500
fd-328,2020-01-13,Nakasero,Cassava,3200
fd-329,2020-09-05,,fish,12900
fd-330,2020-05-29,Mukono,MAIZE,14200
fd-331,2022-08-24,Bwaise,CASSAVA,6900
fd-332,2023-16-47,Nakasero,banana leaves,11200
fd-333,2021-10-28,,MAIZE,20200
fd-334,2022-09-14,Kansanga,Beans,23200
fd-335,2020-11-29,Kansanga,beans,13300
fd-336,2021-07-12,Bwaise,fish,-2100
fd-337,2020-10-25,Mukono,Cassava,5000
fd-338,2022-01-02,Kansanga,Cassava,20000
fd-339,2022-07-31,Kansanga,fish,-1100
fd-340,2021-10-15,Mukono,Maize,22000
fd-341,2021-07-30,Kansanga,Beans,14600
fd-342,2022-02-03,,fish,19300
fd-343,2021-11-26,,fish,1300
fd-344,2020-03-28,Mukono,MAIZE,11700
fd-345,2021-05-02,Mukono,CASSAVA,15300
fd-346,2020-04-27,Mukono,Beans,22600
fd-347,2021-06-12,Bwaise,fish,18800
fd-348,2021-10-06,Bwaise,MAIZE,14600
fd-349,2021-04-05,,Cassava,23500
fd-350,2022-03-26,Mukono,banana leaves,18000
fd-351,2020-09-25,Kansanga,fish,10700
fd-352,2020-12-22,Nakasero,CASSAVA,22500
fd-353,2020-03-27,Bwaise,Beans,10500
fd-354,2021-02-01,Kansanga,banana leaves,13000
fd-355,2022-07-30,Bwaise,fish,9900
fd-356,2020-02-24,Nakasero,maize,6800
fd-357,2021-05-21,Kansanga,CASSAVA,15000
fd-358,2022-02-18,Bwaise,beans,-4100
fd-359,2022-01-30,Kansanga,fish,19200
fd-360,2021-01-10,,maize,14900
fd-361,2022-04-29,Bwaise,beans,1500
fd-362,2021-03-25,Mukono,eggs,24600
fd-363,2021-10-09,Kansanga,MAIZE,7200
fd-364,2021-06-29,Nakasero,banana leaves,11100
fd-365,2022-09-02,,Maize,13900
fd-366,2020-05-09,Bwaise,eggs,11000
fd-367,2021-05-16,Bwaise,banana leaves,21000
fd-368,2022-06-20,Mukono,Cassava,9600
fd-369,2021-05-14,Nakasero,banana leaves,-1900
fd-370,2021-10-12,Nakasero,Maize,13500
fd-371,2020-10-01,Nakasero,beans,19400
fd-372,2022-07-04,Mukono,maize,15500
fd-372,2022-07-04,Mukono,maize,15500
fd-373,2021-04-12,Mukono,Cassava,23000
fd-374,2022-06-14,Nakasero,Maize,8700
fd-375,2020-02-23,Kansanga,beans,8100
fd-376,2020-08-06,Kansanga,Maize,7900
fd-377,2022-15-48,Mukono,Cassava,16100
fd-377,2022-15-48,Mukono,Cassava,16100
fd-378,2020-04-14,Mukono,Beans,10300
fd-379,2020-05-16,Bwaise,Maize,700
fd-380,2020-08-06,Bwaise,Cassava,14900
fd-381,2022-02-09,Mukono,banana leaves,12000
fd-382,2020-10-10,Mukono,eggs,20100
fd-383,2020-01-28,Nakasero,eggs,17100
fd-384,2022-03-13,Bwaise,CASSAVA,8300
fd-385,2020-01-13,Nakasero,Beans,19100
fd-386,2021-04-27,Mukono,maize,900
fd-387,2022-03-19,Kansanga,fish,23800
fd-388,2020-03-25,,fish,9500
fd-389,2022-09-24,Bwaise,fish,19700
fd-390,2020-03-08,Nakasero,Cassava,8300
fd-390,2020-03-08,Nakasero,Cassava,8300
fd-391,2021-04-09,,banana leaves,22300
fd-392,2021-12-25,Bwaise,maize,11800
fd-393,2020-06-19,Nakasero,MAIZE,9300
fd-394,2020-12-09,Kansanga,beans,9100
fd-395,2021-04-11,,Beans,19000
fd-396,2022-07-04,,Maize,17100
fd-396,2022-07-04,,Maize,17100
fd-397,2020-14-50,Kansanga,Beans,5400
fd-398,2022-04-02,Kansanga,eggs,14100
fd-399,2021-08-08,Nakasero,Maize,2200
fd-400,2022-09-03,Kansanga,Maize,9700
fd-401,2021-04-12,Mukono,Beans,18900
fd-402,2021-01-12,,CASSAVA,6900
fd-403,2020-06-03,Mukono,Cassava,-2800
fd-404,2022-08-31,Nakasero,maize,12800
fd-405,2021-06-26,Bwaise,Cassava,2400
fd-406,2020-02-14,Bwaise,fish,12700
fd-407,2021-06-01,Bwaise,Cassava,19100
fd-407,2021-06-01,Bwaise,Cassava,19100
fd-408,2020-10-25,Nakasero,Beans,13300
fd-409,2020-10-05,Bwaise,Maize,4900
fd-410,2020-06-17,Kansanga,CASSAVA,4400
fd-411,2020-11-11,Kansanga,beans,3400
fd-412,2021-12-14,,maize,11200
fd-413,2021-02-09,,maize,9000
fd-414,2022-05-25,Kansanga,fish,8600
fd-415,2020-05-04,Mukono,maize,7700
fd-416,2021-10-07,Mukono,banana leaves,2900
fd-416,2021-10-07,Mukono,banana leaves,2900
fd-417,2021-03-30,Bwaise,Maize,11300
fd-418,2022-08-04,,Cassava,13400
fd-419,2020-12-28,Bwaise,MAIZE,15100
fd-420,2020-09-08,Nakasero,CASSAVA,18500
fd-421,2021-03-05,Bwaise,fish,18300
fd-422,2021-01-02,Kansanga,fish,11700
fd-423,2020-07-03,Mukono,Beans,1400
fd-424,2021-04-28,,Beans,8100
fd-425,2020-09-29,,maize,7600
fd-426,2022-08-15,Bwaise,MAIZE,10900
fd-427,2020-01-29,Nakasero,banana leaves,18900
fd-428,2022-09-20,Kansanga,fish,16500
fd-428,2022-09-20,Kansanga,fish,16500
fd-429,2020-01-21,,CASSAVA,-1300
fd-430,2020-06-30,Nakasero,maize,-2600
fd-431,2021-06-22,Nakasero,Maize,22100
fd-432,2020-05-19,Bwaise,Cassava,16400
fd-433,2021-12-11,,Beans,19700
fd-434,2020-10-28,Bwaise,MAIZE,23500
fd-435,2022-09-15,,maize,10900
fd-436,2021-08-02,Mukono,CASSAVA,24900
fd-437,2021-10-13,Mukono,Beans,9100
fd-438,2022-03-16,Mukono,maize,-3300
fd-439,2021-05-19,Kansanga,Beans,3800
fd-440,2022-02-15,Bwaise,MAIZE,1500
fd-441,2020-03-16,Nakasero,MAIZE,5700
fd-442,2020-04-05,Nakasero,banana leaves,16300
fd-443,2021-09-13,Kansanga,MAIZE,11300
fd-444,2022-01-09,,beans,10200
fd-445,2022-05-10,Kansanga,MAIZE,600
fd-446,2021-09-06,Kansanga,eggs,7200
fd-447,2022-05-14,Mukono,beans,15900
fd-448,2021-07-11,Kansanga,MAIZE,12900
fd-449,2021-04-21,Nakasero,eggs,18900
fd-449,2021-04-21,Nakasero,eggs,18900
fd-450,2020-03-28,Nakasero,fish,19800
fd-451,2021-06-19,Kansanga,fish,16000
fd-452,2021-02-08,Mukono,fish,17400
fd-453,2020-05-03,Kansanga,MAIZE,5900
fd-454,2021-03-09,Mukono,Cassava,21000
fd-455,2022-01-14,Mukono,Maize,13500
fd-456,2022-07-28,Mukono,banana leaves,14200
fd-457,2021-08-19,Mukono,Maize,3800
fd-458,2022-06-17,Kansanga,beans,16400
fd-459,2021-02-16,Bwaise,banana leaves,23200
fd-460,2021-12-08,Bwaise,maize,9300
fd-461,2020-11-06,Nakasero,beans,23300
fd-462,2020-11-03,Kansanga,Beans,14100
fd-463,2022-07-24,Kansanga,CASSAVA,12700
fd-464,2020-11-14,,Cassava,17600
fd-465,2022-05-02,Bwaise,maize,15400
fd-465,2022-05-02,Bwaise,maize,15400
fd-466,2021-01-12,Kansanga,fish,4500
fd-467,2021-04-01,Bwaise,CASSAVA,11900
fd-468,2022-04-30,Mukono,beans,-4800
fd-469,2022-05-27,Bwaise,eggs,9300
fd-470,2022-09-17,Mukono,CASSAVA,21700
fd-471,2021-09-14,Nakasero,beans,12800
fd-472,2020-11-05,,banana leaves,3800
fd-472,2020-11-05,,banana leaves,3800
fd-473,2022-05-09,Nakasero,fish,20400
fd-474,2020-12-10,Nakasero,Beans,9000
fd-475,2020-07-11,Bwaise,fish,2300
fd-476,2021-11-07,Nakasero,MAIZE,21900
fd-477,2021-02-18,Kansanga,maize,19200
fd-478,2021-12-03,,CASSAVA,22500
fd-479,2021-11-04,,MAIZE,15900
fd-480,2022-02-20,Bwaise,Beans,7700
fd-481,2022-03-18,Nakasero,Beans,10100
fd-482,2021-10-11,,banana leaves,2800
fd-483,2021-11-28,Kansanga,fish,2200
fd-484,2020-12-16,Kansanga,banana leaves,15400
fd-485,2020-03-23,Kansanga,Beans,6200
fd-486,2020-08-02,Bwaise,banana leaves,16500
fd-487,2021-03-20,Kansanga,Cassava,16100
fd-488,2021-01-17,Mukono,Beans,17900
fd-489,2020-09-11,Bwaise,Beans,3800
fd-490,2022-04-23,Mukono,beans,15400
fd-491,2022-06-28,Bwaise,Beans,16500
fd-492,2022-07-29,Kansanga,maize,24300
fd-493,2024-17-45,Bwaise,Maize,21800
fd-494,2022-02-28,,banana leaves,-4900
fd-495,2025-18-37,Mukono,Cassava,4500
fd-496,2021-12-12,Mukono,beans,3800
fd-497,2020-05-20,Kansanga,Maize,20700
fd-498,2020-07-22,,eggs,17600
fd-499,2020-06-13,Mukono,fish,7300
fd-500,2020-01-14,Mukono,Maize,22400
fd-501,2020-03-17,Mukono,beans,15400
fd-502,2020-04-12,Bwaise,maize,12300
fd-503,2020-04-07,Mukono,maize,22200
fd-504,2022-09-05,,beans,3500
fd-505,2021-02-13,Kansanga,beans,23100
fd-506,2022-03-27,Bwaise,Maize,24300
fd-506,2022-03-27,Bwaise,Maize,24300
fd-507,2021-03-02,,CASSAVA,22700
fd-508,2021-09-18,Mukono,MAIZE,16400
fd-509,2020-09-24,Nakasero,maize,22700
fd-510,2020-08-17,Nakasero,fish,23400
fd-511,2021-05-08,Nakasero,Cassava,18700
fd-512,2021-13-49,,CASSAVA,5900
fd-512,2021-13-49,,CASSAVA,5900
fd-513,2022-09-20,Nakasero,maize,18500
fd-514,2021-04-15,Kansanga,banana leaves,16800
fd-515,2021-10-31,Mukono,Maize,1600
fd-515,2021-09-10,,beans,18900
fd-517,2021-01-07,Mukono,eggs,11300
fd-518,2021-11-03,Nakasero,CASSAVA,22000
fd-519,2022-09-14,Nakasero,fish,23500
fd-520,2022-04-21,Kansanga,Maize,6900
fd-521,2021-04-13,Bwaise,Beans,14000
fd-521,2021-04-13,Bwaise,Beans,14000
fd-522,2020-05-06,Kansanga,CASSAVA,17000
fd-523,2020-02-19,,Cassava,16300
fd-524,2021-12-09,,MAIZE,4700
fd-525,2020-11-25,,Cassava,20400
fd-526,2022-09-13,Nakasero,beans,4800
fd-527,2021-06-08,Nakasero,fish,23800
fd-528,2020-08-02,,beans,22500
fd-529,2020-07-01,,fish,11000
fd-530,2021-08-19,,Cassava,17900
fd-531,2021-06-19,Mukono,maize,2200
fd-532,2020-06-13,Nakasero,beans,2500
fd-533,2020-02-03,Nakasero,CASSAVA,22600
fd-534,2021-07-28,Kansanga,eggs,23300
fd-535,2021-01-31,Kansanga,Beans,2200
fd-535,2021-01-31,Kansanga,Beans,2200
fd-536,2022-03-10,Kansanga,eggs,23500
fd-537,2022-01-26,,eggs,6800
fd-538,2020-07-10,Bwaise,fish,1800
